
DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,CURRENCY:Currency,COLLECTION:Collection,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-23,F:Free,,A:Normal value,357.691562
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-24,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-25,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-26,F:Free,,A:Normal value,358.290432
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-27,F:Free,,A:Normal value,358.677043
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-28,F:Free,,A:Normal value,357.825243
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-29,F:Free,,A:Normal value,357.787482
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-30,F:Free,,A:Normal value,357.58604
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-01-31,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-01,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-02,F:Free,,A:Normal value,357.740058
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-03,F:Free,,A:Normal value,357.644207
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-04,F:Free,,A:Normal value,357.58604
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-05,F:Free,,A:Normal value,357.624818
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-06,F:Free,,A:Normal value,357.682986
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-07,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-08,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-09,F:Free,,A:Normal value,357.807953
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-10,F:Free,,A:Normal value,357.85541
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-11,F:Free,,A:Normal value,357.527872
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-12,F:Free,,A:Normal value,357.730359
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1970-02-13,F:Free,,A:Normal value,357.576345
